start_time,end_time,transcription
0.5,1,halloj
4.1,6.4,"så du kanske vill berätta det här dillemmat då?"
19.2,19.8,mhm
22,22.5,mhm
27,27.8,mhm
33.7,34.1,mhm
35.7,36.1,mhm
53,53.5,ja
55,55.3,ja
59.6,61.4,"exakt vad jag tänkte ja"
68.4,69.7,mhm
72.7,73.2,mhm
74.7,75.1,mhm
76.2,77.2,"nej men jag håller med"
77.4,78.9,"faktiskt jag tycker att det är"
79.9,81,"jag tycker att"
81.2,87.7,"om det bara görs under rätt omständigheter så kan det ju vara superbra liksom om någonting händer så har man koll på vart"
88.3,89.3,"vart man är någonstans"
89.9,91.1,"och jag tycker också att det"
91.3,92.7,"makes sense att"
93.6,94.2,barn
94.5,96,"har koll på sina föräldrar också"
96.3,97.9,"så att det blir liksom jämlikt"
115.1,115.5,mhm
120,120.9,"oj okej"
123.7,124.9,mhm
126.3,127.7,mhm
137.4,138.5,mhm
142.4,142.8,mhm
145.2,145.7,mhm
146.3,146.7,mhm
147.2,148.3,"ja alltså"
148.9,152.6,"du nu tog du till och med upp ett exempel där det var ju så inte första man tänkte på men"
153.3,154,där
154.5,155.1,ehm
155.7,157.8,"det finns liksom en mindre allvarlig"
158.3,160.3,"ett ett mindre allvarligt skeende"
161.5,167.6,"eh och man man den här appen kan vara bra för det det är inte bara så här kidnappningar eller sådant"
168.1,168.7,utan
169.7,171.9,"ja men sådana här grejer som händer oftare"
180.4,181.1,mhm
181.6,183.1,"ja det har du rätt i ja"
188.8,189.3,mhm
193.7,194.2,mhm
196.6,197.2,mhm
204.6,205.1,mhm
206.2,206.7,mhm
207.9,208.3,mhm
209.3,210.8,"absolut absolut"
219.4,219.8,ja
220.2,222.9,"men eh har du har du haft användning för den här"
223.4,224.1,mobilen
224.4,227.8,"eh den sådan här funktion find my phone på andra andra gånger också?"
233.48,234.74,jaha
244.3,244.8,mhm
245.9,246.4,mhm
261.2,261.8,mhm
268.9,270,mhm
272.7,274,mhm
284.4,284.9,"är det någon"
304.4,305.7,jaha
306.2,306.8,oj
314.4,315.6,mhm
318.4,319.1,oj
322,322.9,"så någon hade försökt"
323.7,324.2,mhm
325.2,326,jaha
327.7,328.2,oj
329.9,334.4,"jag har faktiskt inte den appen men jag har ju såklart hört talas om den väldigt många gånger"
334.7,335.2,eh
336.4,337.4,"men eh"
338.3,339.5,"jag har inte jag har"
339.9,341.9,"jag har ju heller inte hört om någon gång"
342.7,343.6,"när eh"
344.4,345.8,"ja eller jag jag har ju"
346.1,347.2,"för det första android"
347.9,350.1,"jag vet inte det finns säkert någon app för det också"
350.8,354.6,"men det känns som att det här find my phone från början kanske var apple"
362.5,364.1,"ja det hade ju varit bra"
364.5,374.4,"för att jag är väldigt en väldig slarver faktiskt men jag brukar inte heller köpa så dyra grejer alltså min mobil är jätte billig vilket jag ångrar väldigt mycket för att den har jättedålig kamera"
374.9,376.4,"jag har en motorola liksom"
377.1,377.7,eh
377.9,378.1,och
378.3,380.6,"eh mina samma sak med mina"
381,381.5,hörlurar
382.6,388.6,"de är liksom billiga så att jag vet inte varför jag köper billiga saker för det drar ner livskvalitén lite grann"
389,389.9,"ja precis"
391,391.5,precis
414.4,414.8,mhm
416.1,416.5,mhm
418,418.7,absolut
419.9,421.3,"jag tror att föräldrar skulle"
422.4,423.3,"eller föräldrar"
423.5,424.7,"tror du att det är vanligare"
425.6,429.1,"tror du att det händer att föräldrar liksom använder den här appen för att kontrollera sina barn?"
432.5,432.9,mhm
438.7,439.2,"jag tänker"
442.4,442.8,mhm
444.3,446,"fanns den här appen"
447,448.2,"när du ehm"
448.9,450.1,"var ungdom liksom?"
451.4,452.3,"nej inte jag heller"
452.6,453,inte
453.2,453.8,"för mig heller"
461.2,462.4,"mina föräldrar också"
465.8,466.2,ja
467.5,468.9,"frågan är om man hade liksom"
470.1,471.3,"tagit med sig mobilen då"
476.6,477,mhm
484.6,485.2,mhm
492.9,493.3,mhm
513.1,513.6,mhm
535.4,536.5,precis
536.9,537.9,"det var det jag tänkte"
538.2,540,"det är typ den enda anledningen kanske"
541.5,542.2,eller
542.8,544.2,"för att hålla koll på liksom"
545.3,546.7,"när man är på fest och bara"
546.9,548.5,"är mamma på väg nu eller inte?"
548.8,549.1,liksom
549.8,550.2,"hålla koll"
554.7,555.2,mhm
558.4,558.9,mhm
560.8,562.1,"mhm haha"
562.78,563.28,haha
575.5,576,mhm
576.8,577.4,mhm
579.8,580.6,verkligen
582.8,584.1,"det borde vara någon såhär"
584.4,585.9,identifikation
587.1,587.8,eh
589.1,594,"att man borde måste identifiera sig för att ge samtycke typ med fingeravtryck eller någonting"
