transcription,start_time,end_time
Hej igen,0:0:0.0,0:0:0.900000
 hej,0:0:2.0,0:0:2.700000
 haha,0:0:19.100000,0:0:20.200000
 Ja.,0:0:24.500000,0:0:26.200000
 Jaha Ja för det finns väl redan för vuxna ändå.,0:0:33.400000,0:0:36.600000
" Ja precis, men vad är det? Ja det är det Snapchat Eller är det Ja",0:0:43.500000,0:0:51.700000
 Ja.,0:0:54.400000,0:0:55.0
 Jaha vid sina föräldrar,0:0:56.700000,0:1:5.0
 Ja.,0:1:7.400000,0:1:10.400000
Jaha,0:1:16.400000,0:1:18.900000
 Hur kommer det sig idag berätta?,0:1:20.500000,0:1:22.400000
 nej,0:1:27.200000,0:1:29.900000
 nej,0:1:34.200000,0:1:35.200000
 Ja absolut,0:1:38.300000,0:1:39.900000
 så är det absolut tacka gudarna. Det har mig själv gjort om att hon har ringt.,0:1:51.700000,0:1:58.600000
 nej,0:2:1.200000,0:2:6.500000
 Jaha,0:2:8.600000,0:2:10.700000
" Just ja, Men är det så att du har liksom egna erfarenheter av dem, men just den sidan och mamma eller?",0:2:15.600000,0:2:24.400000
Jag sa haha Okej jag förstår,0:2:28.900000,0:2:34.700000
" Ja just det, men det var så Vem har inte gjort så liksom",0:2:49.0,0:2:53.300000
 hahahaha,0:2:59.400000,0:3:0.900000
 Jag ska gå en att inte ha några tracking appen.,0:3:7.200000,0:3:20.700000
 nej,0:3:22.300000,0:3:25.200000
 nej,0:3:27.700000,0:3:29.400000
" Nej Alltså egentligen, ja, jag egentligen så tycker jag att det här Jag förstår idén. Jag tycker att det är en inte så pjåkig du är en utav de här grejerna i för sig så är det också. Det är det känns det absolut viktigaste för föräldrar att få något så kanske försöka Ja men utvecklar nån strategi där barnen vågar berätta vad som händer för mig när jag var tonåring att ja, men Ja det var ju väldigt många gånger som mamma inte visste var men om det verkligen kissade så kan du ringa henne i alla fall.",0:3:33.100000,0:4:6.800000
 Hur var det för dig?,0:4:7.500000,0:4:8.700000
 Ja.,0:4:13.400000,0:4:14.0
 verkligen,0:4:18.700000,0:4:24.500000
 Ja det kan ju verkligen om du om du verkligen jätte jätte allvarlig situation säger att man ska bli kidnappad eller så då var det jättebra med den här typen av mat.,0:4:35.900000,0:4:46.400000
Ja just det,0:4:54.0,0:5:5.0
 Nej inte jag heller.,0:5:12.200000,0:5:13.500000
 nej,0:5:40.100000,0:5:42.900000
 men det låter som att du menar lite att den här appen skulle vara typ så men bara en förlängning eller två byggnad på hela den här Kulturen nu. Där vi digitaliserar allt och tar genvägar genom tekniken.,0:5:44.500000,0:5:57.200000
 Ja Nej jag förstår vad du menar? Jag förstår vad du menar absolut.,0:6:2.300000,0:6:7.500000
" Jag och ena sidan så tänker man göra dem föräldrarna för att övervaka barnen så varför skulle inte barn och övervaka föräldrarna liksom, vad tycker du?",0:6:12.600000,0:6:21.400000
 Nej,0:6:27.400000,0:6:31.500000
 Ja just det,0:6:34.700000,0:6:36.300000
 i för sig,0:6:40.100000,0:6:45.100000
 Ja just det,0:6:49.500000,0:6:55.800000
 just det nästa Och det kändes det tycker jag borde vara i sådana fall.,0:7:1.0,0:7:12.0
 Vad tycker du?,0:7:12.900000,0:7:13.800000
 Ja precis absolut,0:7:17.200000,0:7:21.600000
 jag med.,0:7:32.200000,0:7:33.600000
 nästa,0:7:50.0,0:7:51.700000
" Jag tror jag För många fäller. Jag tror visst Såklart har att göra med kontrollbehov, men jag tror att många föräldrar har en anteckning appen. Just för att de ska känna sig lugna. De är oroliga för vad jag menar.",0:7:52.400000,0:8:6.700000
 Ja.,0:8:8.200000,0:8:8.200000
 Ja.,0:8:14.300000,0:8:15.600000
 Okej.,0:8:25.700000,0:8:27.100000
 Jaha,0:8:28.100000,0:8:30.800000
 och Okej det är inte sant.,0:8:31.600000,0:8:39.400000
 Ja.,0:8:47.100000,0:8:47.100000
 absolut absolut,0:8:51.500000,0:8:54.900000
 de håller med om man borde förstås som den personen som bli för full borde finnas någon funktion så eller följ övervakad eller spåra den borde kunna liksom stänga av det. Det tycker jag såg den ändå måste vara någon överenskommelse mellan de två.,0:8:55.900000,0:9:12.100000
 Det tycker jag låter rimligt att jag kan.,0:9:13.200000,0:9:15.900000
" Faktiskt den förstår jag också. Du pratar inte om att jag vet vad jag alltid varit oroliga för våra barn till exempel, Men jag kan tänka mig att många upplever att världen är liksom vet inte om det är sant, men liksom det är en större risk att hänga ute sent på kvällarna och så tror du att det är så nej.",0:9:21.600000,0:9:44.100000
 Ja.,0:9:45.0,0:9:48.900000
 nej,0:9:50.400000,0:9:51.900000
