start_time,end_time,transcription
0.3,1.1,"hej igen"
2.3,2.9,hej
8.6,9.3,mhm
19.6,20.3,aha
25.9,26.5,ja
33.7,36.7,"jaha ja för det finns väl redan för vuxna ändå"
45.1,50.6,"ja precis men vad är det? är det är det snapchat eller är det"
51.4,52,ja
54.7,55.3,ja
62.3,65.8,"jaha av av sina föräldrar ja haha"
70,70.6,ja
78.3,79.1,jaha
80.7,82.6,"hur kommer det sig då? berätta"
84,84.7,ja
88.8,90.1,nej
94.7,95.4,nej
98.6,100.5,"ja ja absolut"
114,114.9,"så är det"
115.3,118.5,"absolut tacka gudarna det har mig själv gjort när man var tonåring"
118.8,119.3,ja
126,126.6,nej
130.1,131.6,jaha
138.2,144.1,"just ja men är det så att du har liksom egna erfarenheter av det med just din syrra och mamma eller?"
149.5,150.5,"jag sa"
151.9,152.6,haha
153.4,155,"okej jag förstår"
169.3,174,"just det men det alltså vem har inte gjort så? liksom"
174.2,175.2,mhm
180.1,181.3,aha
191.7,192.8,justja
193.7,194.8,mhm
195.6,200.6,"det är ju faktiskt värre då än att inte ha den där tracking-appen"
200.8,201.2,mhm
204.5,205.3,nej
208.7,209.5,nej
211.7,212.6,mhm
213.4,214.01,mhm
215.7,226.6,"nej alltså egentligen jag jag egentligen så tycker jag att det här jag förstår idén jag tycker att det är en inte så pjåkig idé men nu när du tar upp de här grejerna i för sig så väger det också eh"
226.9,231.16,"det det känns ju absolut viktigare för föräldrar på något sätt kanske försöka"
231.7,240.4,"ja men utvecklar nån strategi där barnen vågar berätta vad som händer för mig var det så att mer att när jag var tonåring att ehm"
240.8,247.3,"ja men ja det var ju väldigt många gånger som mamma inte visste var men om det verkligen krisade så kan du ringa henne i alla fall"
247.8,248.9,"hur var det för dig?"
253.6,254.3,ja
263.1,264.6,"ja verkligen"
272,272.9,haha
273.9,274.7,ja
278.1,279,ja
279.4,286.7,"det kan ju verkligen om du om du verkligen sker en jätte jätteallvarlig situation säg att man skulle bli kidnappad eller så då är det jättebra med den här typen av app"
287,287.7,ja
299.4,301,mhm
304,305.2,"ja just ja"
312.4,313.9,"nej inte jag heller"
322.1,323.2,mhm
325,325.5,mhm
342.1,342.8,nej
343.1,343.9,ja
344.7,357.4,"men det låter som att du menar lite att den här appen skulle vara typ som en bara en förlängning eller påbyggnad på hela den här kulturen nu där eh vi digitaliserar allt och tar genvägar genom tekniken"
358.9,360,mhm
363.4,364.1,ja
364.7,368.2,"nej jag förstår vad du menar jag förstår vad du menar absolut"
374.1,381.8,"jag och ena sidan så tänker man ju att om föräldrarna för att övervaka barnen så varför skulle inte barnen och övervaka föräldrarna liksom vad tycker du?"
390.9,391.6,nej
395.3,396.7,"ja just det"
402.9,405.8,"mhm i för sig ja"
414.9,415.9,"ja just det"
426.6,427.5,"just det"
427.7,432.1,"just ja och det känns det det tycker jag borde vara föräldrarnas ansvar i sådana fall"
433.1,433.69,"vad tycker du?"
434.91,435.21,mhm
438.3,438.8,ja
439.5,440.13,precis
441.2,442.1,absolut
452.4,453.62,"ja jag med"
461,462,mhm
470.8,472,justja
472.7,475.1,"jag tror jag tror många föräldrar jag tror"
475.4,485.5,"visst det såklart har att göra med kontrollbehov men jag tror att många föräldrar har en tracking-appen just för att de ska känna sig lugna för de är oroliga för vad som kan hända"
485.8,486.56,"förstår du vad jag menar?"
488.5,488.93,ja
495.3,495.67,ja
506,507,"ja okej"
510.2,511.1,jaha
516.2,519.6,"och okej det har jag inte hört talas om"
527.4,528.3,ja
533,534.1,absolut
534.4,535.5,absolut
536.2,552.5,"de håller med om eh man borde ju förstås som den personen som bli för full det borde finnas någon funktion så eller för full övervakad eller spårad den borde kunna liksom stänga av det på något sätt det tycker jag så det ändå måste vara någon överenskommelse mellan de två"
553.4,556,"det tycker jag låter rimligt och jag kan"
559.6,560.3,ja
561.9,582.8,"faktiskt sen förstår jag också du pratar inte om att vi har ju alltid varit oroliga för våra barn till exempel men jag kan tänka mig att många upplever att världen är liksom farligare nu på något sätt och det sen vet inte om det är sant men att liksom det är en större risk att hänga ute sent på kvällarna och så tror du att det är så?"
583.6,584.4,nej
588.5,589.2,ja
591.4,592,nej
