start_time,end_time,transcription
0.6,1.2,hej
2.5,3.7,"det är jag som är Caroline"
10.9,12.2,"få vadå?"
18.9,20.4,"det kanske var jag vilken mack?"
24.7,25.6,"nej inte"
26.9,28.2,"jag har inte varit där idag"
29.6,30.9,"nej ja okej"
31.3,31.5,haha
32.5,33.5,jaha
33.9,34.6,"okej ja"
35.3,36.8,"men eh jag har ju inte hört"
37.1,39.8,"de vad de här dilemmana handlar om så du kanske vill"
41.2,41.8,"börja berätta"
43.7,44.1,nej
106.9,113,"eh spontant så känner jag väl verkligen att jag inte skulle vilja att det infördes"
160.7,162.7,"just det ja det är en bra poäng"
174.2,178.9,"men du tänker att man behöver någon slags övervakning det har att vi har det liksom"
200,201.1,"ja hur menar du då?"
254.8,256,mhm
261.5,262.2,ja
267.9,268.5,nej
269.6,271.3,"jag tänker på just det här ehm"
271.6,276.2,"i en i en by då när alla har koll på varandra då är det då känns det som att"
276.5,277.4,"då har"
278,278.6,"det är mer"
278.8,282,"det är mer platt struktur liksom att eh ja men"
282.4,283.6,"ehm alla"
283.9,290.7,"dina kompisar har koll på mina kompisar ehm dina föräldrar har koll på mina föräldrar och så vidare att det blir liksom"
291,294.1,"men den här typen av övervakning då är det ju"
294.9,296,eh
296.3,305.5,"en styrande klass eller vad man ska säga som eh har koll på en det är inte så att vi alla har koll på varann genom ett övervakningssystem"
307.9,309,"men ehm"
309.3,310.4,"men jag förstår vad du menar"
391.2,394.2,"just det ja ja men det är en bra poäng tycker jag det här med att"
394.4,395.2,ehm
395.5,396.2,"det ehm"
396.4,400.1,"säg att man skulle i nuläget tänka ja men eh"
400.7,401.9,"jag litar på"
402.3,421,"våra politiker nu och jag litar på regeringen till exempel så ja men vi kör på det här och sedan så eh blir någon invald som man absolut som som som typ ja som utnyttjar sin makt kanske någon som såhär gör gör att man inte kan rösta längre och så vidare och så finns ju den här det här systemet redan etablerat"
421.3,422.4,mhm
479.2,484.4,"just det ja någon typ av övervakning kan kan ju faktiskt göra"
485,493.6,"göra att man känner sig tryggare eller åtminstone om någonting händer att eh det ska finnas liksom bevisföring"
494.5,507.4,"om man blir rånad eller överfallen på tunnelbanan eller något sådant där men har ja precis men jag är inte säker på om vi har övervakningskameror i tunnelbanan nu vi har inte det va?"
528.9,529.7,"just det"
536.7,539,"man skulle kunna säga att eh"
539.3,546.4,"tull våra tullar också är en typ av övervakning kanske eller ehm eh"
547.1,548.5,"ja precis"
548.9,553.4,"eller om om också du vet såhär poängsystemet då på något sätt"
553.8,555.7,"eller nej kanske inte"
556.2,557.3,"men eh"
561.9,563.1,ja
575.9,577.4,"just det ja"
577.83,579.36,"just det ja om man inte betalar i tid"
