subject_id,run_id,start_time,end_time,label
5,1,0.0,10.8,high
5,1,4.8,15.6,high
5,1,9.6,20.4,high
5,1,14.4,25.2,high
5,1,19.2,30.0,high
5,1,24.0,34.8,high
5,1,28.799999999999997,39.6,high
5,1,33.6,44.4,high
5,1,38.4,49.2,high
5,1,43.2,54.0,high
5,1,48.0,58.8,high
5,1,52.8,63.599999999999994,high
5,1,57.599999999999994,68.39999999999999,high
5,1,62.4,73.2,high
5,1,67.2,78.0,high
5,1,72.0,82.8,high
5,1,76.8,87.6,high
5,1,81.6,92.4,high
5,1,86.39999999999999,97.2,high
5,1,91.2,102.0,high
5,1,96.0,106.8,high
5,1,100.8,111.6,high
5,1,105.6,116.4,high
5,1,110.4,121.2,high
5,1,115.2,126.0,high
5,1,120.0,130.79999999999998,high
5,1,124.8,135.6,high
5,1,129.6,140.4,high
5,1,134.4,145.2,high
5,1,139.2,150.0,high
5,1,144.0,154.79999999999998,high
5,1,148.79999999999998,159.6,high
5,1,153.6,164.4,high
5,1,158.4,169.2,high
5,1,163.2,174.0,high
5,1,168.0,178.79999999999998,high
5,1,172.79999999999998,183.6,high
5,1,177.6,188.4,high
5,1,182.4,193.2,high
5,1,187.2,198.0,high
5,1,192.0,202.8,high
5,1,196.8,207.6,high
5,1,201.6,212.4,high
5,1,206.4,217.2,high
5,1,211.2,222.0,high
5,1,216.0,226.8,high
5,1,220.8,231.6,high
5,1,225.6,236.4,high
5,1,230.4,241.2,high
5,1,235.2,246.0,high
5,1,240.0,250.8,high
5,1,244.8,255.6,high
5,1,249.6,260.4,high
5,1,254.4,265.2,high
5,1,259.2,270.0,high
5,1,264.0,274.8,high
5,1,268.8,279.59999999999997,high
5,1,273.59999999999997,284.4,high
5,1,278.4,289.2,high
5,1,283.2,294.0,high
5,1,288.0,298.8,high
5,1,292.8,303.59999999999997,high
5,1,297.59999999999997,308.4,high
5,1,302.4,313.2,high
5,1,307.2,318.0,high
5,1,312.0,322.8,high
5,1,316.8,327.59999999999997,high
5,1,321.59999999999997,332.4,high
5,1,326.4,337.2,high
5,1,331.2,342.0,high
5,1,336.0,346.8,high
5,1,340.8,351.59999999999997,high
5,1,345.59999999999997,356.4,high
5,1,350.4,361.2,high
5,1,355.2,366.0,high
5,1,360.0,370.8,high
5,1,364.8,375.6,high
5,1,369.6,380.4,high
5,1,374.4,385.2,high
5,1,379.2,390.0,high
5,1,384.0,394.8,high
5,1,388.8,399.6,high
5,1,393.6,404.4,high
5,1,398.4,409.2,high
5,1,403.2,414.0,high
5,1,408.0,418.8,high
5,1,412.8,423.6,high
5,1,417.6,428.4,high
5,1,422.4,433.2,high
5,1,427.2,438.0,high
5,1,432.0,442.8,high
5,1,436.8,447.6,high
5,1,441.6,452.4,high
5,1,446.4,457.2,high
5,1,451.2,462.0,high
5,1,456.0,466.7999999999999,high
5,1,460.7999999999999,471.6,high
5,1,465.6,476.4,high
5,1,470.4,481.2,high
5,1,475.2,486.0,high
5,1,480.0,490.7999999999999,high
5,1,484.7999999999999,495.6,high
5,1,489.6,500.4,high
5,1,494.4,505.2,high
5,1,499.2,510.0,high
5,1,504.0,514.8,high
5,1,508.7999999999999,519.6,high
5,1,513.6,524.4,high
5,1,518.4,529.1999999999999,high
5,1,523.1999999999999,534.0,high
5,1,528.0,538.8,high
5,1,532.8,543.6,high
5,1,537.6,548.4,high
5,1,542.4,553.1999999999999,high
5,1,547.1999999999999,558.0,high
5,1,552.0,562.8,high
5,1,556.8,567.6,high
5,1,561.6,572.4,high
5,1,566.4,577.1999999999999,high
5,1,571.1999999999999,582.0,high
5,1,576.0,586.8,high
5,1,580.8,591.6,high
5,1,585.6,596.4,high
5,1,590.4,601.1999999999999,high
5,1,595.1999999999999,606.0,high
5,1,600.0,610.8,high
5,1,604.8,615.6,high
5,1,609.6,620.4,high
5,1,614.4,625.1999999999999,high
5,1,619.1999999999999,630.0,high
5,1,624.0,634.8,high
5,1,628.8,639.6,high
5,1,633.6,644.4,high
5,1,638.4,649.1999999999999,high
5,1,643.1999999999999,654.0,high
5,1,648.0,658.8,high
5,1,652.8,663.6,high
5,1,657.6,668.4,high
5,1,662.4,673.1999999999999,high
5,1,667.1999999999999,678.0,high
5,2,0.0,10.8,normal
