start_time,end_time,transcription
0.8,1.3,tja
1.5,2.3,"nu är du tillbaka"
4.4,7,"vilken eh lyx att få röra huvudet för dig"
8.6,9.7,"att få röra huvudet"
13.1,16.3,"det är lite märkligt eh ligga helt eh stilla så här"
17.1,21.2,"eh och prata nej men det man vill gärna uttrycka sig mer"
22,23.3,kroppsgester
24.1,27.3,"men det är det är väldigt det känns som väldigt kort"
27.8,30.1,"på ett sätt att att eh kommunicera bra"
33.2,33.9,"att man"
37.2,39.2,"ja jo exakt ja"
39.4,41.1,"måste tänka på det lite grann hela tiden"
42.8,46.2,"ja men då då har du sett nästan dilemma eller inte? nej"
46.5,48.3,"så det här då handlar då om"
48.8,51.5,"dating utifrån gentest"
52.3,53.7,"eh så att"
54.3,56.5,"säg att den personen man ska träffa"
57.1,59,"vill att du gör en dna-analys"
59.6,60.6,"av dig själv först"
61,62.3,"för att se om du har några"
62.9,65.7,"sjukdomar eller psykiska sjukdomar eller någonting"
68.2,70.7,"och då är frågan hade du hade du gjort"
71.8,74,"nej nej alltså det kan ju vara vad som helst"
74.6,77.8,"vad som helst som är liksom fel fel på dig eh"
78.3,79.1,ehm
81,83.8,"och eh ja frågan är om du hade gjort det eller eller inte"
85.8,86.8,"så eh vad tänker du där?"
103.2,103.8,mhm
110.5,111,mhm
124.1,124.7,mhm
132.2,132.7,mhm
134,136.6,"och vad tänker du för fall för eh fall då?"
149.9,151.3,"mhm mhm"
159.6,160.4,mhm
160.9,162.1,"ja just det"
169.7,170.5,mhm
171.8,172.6,mhm
174.9,180.9,"ja första dejten är nog alltså det går ju inte känns det skulle inte gå ju socialt"
181.3,183.2,"att få det få ihop det"
191.7,194.3,"mhm just det ja spännande"
194.8,195.8,"spännande koncept"
196.6,200.1,"det kanske är det i framtiden om typ tjugo trettio år"
201,206.3,"dna-analys blir mycket billigare och så har man tinder fast på liksom gener"
207.2,208.2,"man får välja"
209.1,212.9,"vilka gener man vill man man vill ha och vilka man inte vill ha"
214.1,215.1,eh
222.7,230.3,"jag vet inte jag vet inte riktigt vad det är för gener man alltså det är ju mer eh som i ditt fall om det är någon sådan blodsjukdom"
230.9,232,alltså
233.4,237.4,"men annars känns det så svårt att säga"
238.6,241.6,"jag vet jo jag vet för lite om det också känner jag"
242.4,243.2,såhär
244.1,247.3,"jag vet inte vilka gener som är bra att ha och vilka som är dåliga"
249.2,250.3,"men eh"
252.5,256.8,"men annars tänker jag alltså man gör någon någon slags gen-analys"
257.2,257.9,"gör ju"
258.7,261,"hjärnan åt en automatiskt"
262.1,263.1,"när man när man"
263.5,264.4,"ser på någon"
265.1,268.9,"ser alltså hjärnan tolkar ju igenom massa grejer"
269.9,270.7,ehm
272.3,275.8,"med ansiktet hur hur de pratar hur de rör sig"
277.2,278.1,ehm
279.6,284,"liksom är det vi kan vi är ganska bra på att plocka upp om någon är psykiskt eh"
284.8,286,"sjuk eller inte"
286.3,288.9,"alltså om det iallafall om det är på en extrem nivå"
290.5,291.2,eh
292.8,294.2,"sedan det är ju klart det är ju inte"
295.4,297,"alltså det är ju inte som att man bara skulle vara"
297.5,299.7,"i perfekt eh skick hela tiden"
300.5,301.1,ehm
302.8,303.5,"men även"
308.2,308.8,exakt
309.9,310.5,precis
311.3,313.8,"eh så men även sådana grejer kan man ju plocka upp"
314.3,315.1,men
317.3,319.5,"men det känns ju konstigt att göra det innan"
319.8,321.5,"alltså innan en en dejt"
321.8,322.3,"i sådana fall"
323.4,324.1,så
338.8,339.5,ja
341.2,344.2,"du ser lite schizofren ut så jag vill bara kolla"
345.4,345.8,"har du?"
346.8,347.3,ja
348.5,350.8,"ja att du bytte personlighet efter"
351,351.8,"fem minuter"
352.6,355,"ska vi bara ta vi tar ett snabb eh snabbtest"
358.8,359.9,"men eh"
361.3,364.6,"nej alltså det jag hade jag fått den frågan så hade jag nog inte"
366.1,367.9,"så hade jag nog inte fortsatt"
368.9,370.6,"nej då hade jag tänkt nej men"
370.8,373.4,"det är lite kontrollbehov också från den"
374.1,375.1,"den personens sida då"
376.9,380.2,"så det känns mer som en red flag från dem i sådana fall"
382,382.4,eh
390,390.7,mhm
391,391.6,mhm
392.9,393.4,mhm
395.2,400.5,"men eh men annars känns det ju typ rimligt som den här den här appen med"
401.6,404.7,"alltså säg att man skulle hålla ha koll helt på sina"
405,406.3,"egna genetiska"
407,407.7,sjukdomar
410.2,412.9,"och då när man vill skaffa barn så"
414,416.5,"då vill man ju inte att ens partner ska ha samma"
417.6,418.6,"för att liksom"
418.8,420.6,"ja men sprida vidare de grejerna"
421.3,421.6,"så att"
422,426.3,"jag kan ändå se att i framtiden att vi kommer göra mer mer sådana grejer"
426.8,427.4,faktiskt
432.1,432.6,mhm
436.4,437,mhm
437.3,437.7,mhm
453.2,457.6,"mhm nej men det kan ju vara mer sådana här latenta grejer som man inte vet om"
458.5,459.4,"att man har"
460,462.1,"men som kanske kan vara"
462.7,463.5,ätliga
464.5,466.8,"och kanske i kollision med någon annans"
468.1,470.9,"eh ärftliga gen så blir det"
471.2,472.7,"dåligt i i liksom"
473.6,474.6,arvtagarna
476,476.9,ehm
480.2,480.9,"men jag vet inte"
483.8,484.3,ja
487.6,488,ja
488.8,491.1,"då kan då kan det ju vara då kan det ju vara bra"
504.4,505.3,"ja exakt"
507.3,509.2,"nej just det just det"
510.2,512.7,"exakt de kanske har någonting och då vet man"
514,516.1,"ja då ska jag inte gå på den dejten"
533,533.5,mhm
542.3,542.7,mhm
551.7,552.7,alltså
556.9,557.7,mhm
561.8,566.9,"nej just det för att det är lätt att man fastnar liksom i det konceptet bara"
567.4,570.3,"alltså att man fastnar i ja men du har ju den här grejen"
570.6,572.6,"det är därför du gör sådär eller bla bla bla"
573.5,574.3,ehm
575.5,578.9,"ja det är sant ja det är ju men det och det är väl lite så också för typ"
580.2,582.4,"alla diagnoser man kan få"
582.9,583.8,alltså
585.7,591.9,"ja men att de typ om man om man säger att man har adhd eller man har bipoläritet alltså"
592.2,594.7,"vad vad betyder det ens?"
594.9,596.1,"att ha det?"
597,597.7,alltså
598.08,599.24,"jag tror att för många eh"
599.86,600,för
