start_time,end_time,transcription
1,1.6,hallå
6.7,7.6,"ja så nu handlar"
8.2,8.5,"det om"
9.2,14.3,"en spårningsapp för familjemedlemmar så det här företaget har redan"
14.9,18.8,"en app där man som förälder kan övervaka över sina barn"
19.1,19.6,ehm
20,21.4,"antar se vart de är"
21.9,26.4,"och nu har de infört en ny version där barn kan se sina föräldrar"
27.1,30.3,"och frågan är då om eh det är okej att"
30.6,33.2,"ehm föräldrar och barn kan övervaka varandra"
41.1,42.9,"spontant så känner jag väl att"
44.1,44.7,ja
45.1,48.5,"jag tycker väl att det är jättebra på ett sätt men samtidigt så"
49.9,51.7,"vi har vi har väl det här redan?"
53.3,54.4,"det är någonting som finns"
55.5,59,"att man kan hitta varandras iPhone och se var varandra är och"
59.5,60.4,"så att eh"
61.9,65.3,"nej asså jag tycker det är jättebra men bara att båda ska"
65.8,66.3,"ge sitt"
67.1,68.2,"samtycke såklart"
68.6,70.7,"annars kan man ju utnyttja det på"
71.6,72.3,"olika sätt"
73.2,74.2,"utanför familjen"
89.2,89.8,jaha
96,96.6,jaha
97.9,98.3,ja
100.1,101.2,"ja nej verkligen"
101.5,102.2,och
103.6,105.8,"nej jag tycker det det är en bra funktion"
107.6,108.3,eh
109,110,"när vi var i eh"
110.4,114.3,"eh det är väl inte en familjemedlem men vi var ett kompisgäng i kroatien i somras"
114.9,116.5,"så tappade vår kompis"
116.8,118,"eh sin eh"
118.2,119.5,"telefon i taxin"
120.3,123.1,"eller vi upptäckte att den var i taxin för att hon såg hur det rörde sig"
123.6,125.8,"från en annan tjejkompis telefon"
127.1,127.7,"och då"
128.2,131.7,"kunde vi få tag sedan i den här taxichauffören vi faktiskt såg att den var där och att"
132.1,133.4,"den sen kom tillbaka så att"
134.1,135.4,"det är ju en väldigt lyckad"
136,137.4,"funktion på så sätt men ja"
137.6,140.2,"det är bara viktigt att kunna ge varandra samtycke och"
141.1,141.5,ehm
142.1,144.4,"är väl superbra att man kan övervaka sina barn?"
158.1,158.8,okej
167,167.6,mhm
167.9,168.5,eller
173.5,174.3,"ja för"
174.8,178,"det tyvärr så är det väl så att kidnappare oftast gör sig av med"
178.8,179.9,telefoner
180.5,182.1,"ehm men"
182.6,183.5,"i fall"
184.1,188.5,"man vill se ja men vart eh befinner mitt barn sig just nu han eller hon svarar inte"
189,193.3,"så kan man ju enkelt se det och kanske åka dit att ja men om hon är på en fest eller"
194.6,196.3,"ja vad som helst om man är orolig"
196.6,197.2,eh
198,201.6,"så att eh det är väl en bra funktion och sedan om barnen vill se vart"
202.2,202.8,vart
203.2,205.5,"föräldrarna är de är oroliga eller"
205.9,206.6,eh
206.9,207.4,sådär
228.7,231.6,"eh jag har det för mina airpods"
232,232.4,"har jag"
232.7,233.3,ehm
234.7,235.6,det
237.3,238.1,"de eh"
238.9,243.6,"jag var på på gymmet på ett eh på ett pass och så hade vi sådana här brädor"
244.1,245.4,"så bara step-up brädor"
245.6,247.6,"ehm och så att jag lagt ner"
248.1,249.1,"mina airpods"
249.4,250.9,"och vattenflaska och telefon"
251.4,253.4,"under brädan och sen när vi tog eh"
253.7,254.1,"tog bort"
255.2,260.5,"eh skulle liksom packa ihop sedan efter passet så lät jag det vara kvar när jag gick tillbaka med min bräda"
261.1,262.6,"och sedan när jag eh"
263.4,264.9,"kom tillbaka så"
265.4,271.9,"så var bara min telefon och vattenflaska där men då hade jag inte en tanke på att mina airpods var var borta"
272.5,273.1,ehm
273.6,274.8,"för det kom jag på"
275.2,276.2,"när jag hade"
276.6,280.1,"lagt tillbaka resten och sedan var påväg ner till omklädningsrummet så"
280.5,282.7,"så kom jag på att shit vart är mina airpods?"
284,284.8,"och då sedan"
285,286.2,"hittade jag dem i"
286.5,289.4,"i ehm i en av brädorna eh"
289.6,290.8,"på andra sidan"
291.3,292.5,"där jag inte hade lagt"
293.2,296.6,"min bräda så att någon hade troligtvis lagt airpodsen"
297.2,301.1,"i en bräda för att inte bli upptäckt att sedan då troligtvis"
301.6,303.7,"gå dit och hämta dem från passet"
305.6,306.9,"så att ehm men då"
307.3,309.8,"kunde ja ja men hitta den att ja men den är"
310.3,317.7,"femtio femtio meter härifrån den är tjugo meter den är en meter så hitta hittade jag den bland brädorna så att ja någon hade lagt den där"
318,321.3,"tagit den när jag gick tillbaka med min bräda lagt den i en bräda för att"
321.6,323.1,"ja inte bli upptäckt i"
323.5,324.4,"någon hade försökt"
327.6,329.2,"själva då har du varit med om något?"
347.4,347.8,ja
354.9,356.9,"ja jo jo det måste det vara"
358,361.8,"men eh nej det kanske inte finns för android men det borde det finnas känns det som"
370.2,370.8,"men eh"
371.4,371.8,mhm
376.4,377.2,"mhm mhm"
382.1,383,"mhm mhm"
384.9,385.4,nej
387,389.3,"ja ja det är ju på gott och ont"
391.9,392.9,"men eh"
393.5,394.3,"ja nej"
395.5,400,"det eh usch det är hemskt att tappa bort grejer men samtidigt kan det ju vara bra att övervaka varandras"
401.1,403.8,"telefoner som förälder eller barn om barnen"
404.5,408,"är slarviga och brukar tappa bort sina sina prylar"
408.5,410.8,"och att föräldrarna då kan se vart telefonen är"
410.9,411.6,ehm
412.2,413.6,"vart de tappade den eller lade den"
415,415.6,ehm
416.1,416.6,ja
430.6,432,"det det tror jag absolut"
432.8,433.4,ehm
436.1,436.9,det
438.3,440.4,"antingen att de är oroliga eller"
441,442,"eller nyfikna"
444.3,444.8,ehm
